"ID";"指示器";"包";"数量";"名称";"供应商和参考";
1;"REF**";"KiCad-Logo2_5mm_SilkScreen";1;"KiCad-Logo2_5mm_SilkScreen";;;
2;"G***";"TI_0";1;"LOGO";;;
3;"R25,R24";"R_1206_3216Metric";2;"0";;;
4;"J9";"PinHeader_2x02_P2.54mm_Horizontal";1;"Conn_01x04";;;
5;"J8";"JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal";1;"Conn_01x03";;;
6;"R23,R22,R21";"R_0402_1005Metric";3;"100k";;;
7;"C33,C32,C15,C14,C13,C12,C3";"C_0603_1608Metric";7;"100n";;;
8;"F1";"Fuse_0805_2012Metric";1;"Fuse";;;
9;"D5,D1";"D_SOD-123";2;"D_Zener";;;
10;"C31,C30,C29,C22,C21";"C_1206_3216Metric";5;"10u";;;
11;"J4,J3";"SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount";2;"Conn_01x02";;;
12;"D3,D2";"D_SOD-123";2;"D_Schottky";;;
13;"R20";"R_0805_2012Metric";1;"680";;;
14;"D4";"LED_0805_2012Metric";1;"LED";;;
15;"RN2,RN1";"R_Array_Convex_4x0603";2;"R_Pack04_47";;;
16;"J7,J2";"PinHeader_1x06_P2.54mm_Vertical";2;"Conn_01x06";;;
17;"J6";"PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal";1;"Conn_01x03";;;
18;"J5";"PhoenixContact_MC_1,5_8-G-3.81_1x08_P3.81mm_Horizontal";1;"Conn_01x08";;;
19;"U2";"MSOP-8-1EP_3x3mm_P0.65mm_EP1.73x1.85mm";1;"TPS7A4901";;;
20;"U3";"MSOP-8-1EP_3x3mm_P0.65mm_EP1.73x1.85mm";1;"TPS7A3001";;;
21;"U1";"TSSOP-28_4.4x9.7mm_P0.65mm";1;"ADS1263";;;
22;"R19,R18,R17,R16";"R_0402_1005Metric";4;"1k";;;
23;"R15,R14,R13,R12,R11,R10,R9,R8,R3,R1";"R_0402_1005Metric";10;"47";;;
24;"R7,R6,R5,R4,R2";"R_0402_1005Metric";5;"NA/3.9k";;;
25;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
26;"C28,C27,C24,C23,C20,C19";"C_0402_1005Metric";6;"10n";;;
27;"C26,C25,C18,C16";"C_0603_1608Metric";4;"1u";;;
28;"C17";"C_0402_1005Metric";1;"4.7n";;;
29;"C11,C10,C9,C8,C7,C6,C5,C4,C2,C1";"C_0402_1005Metric";10;"47p";;;
